================================================================================
Byte-by-byte Description of file: plan_bin500au.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---     Most commonly used name of the parent star
  16- 25 A10    ---     Alternate name (if any, otherwise "X")
  26- 31 F6.3   Msun    Mass of the parent star
  32- 37 F6.3   Msun    Mass of the companion star
  38- 45 F8.2   pc      Distance to the system
  46- 47 I2     ---     Method of detection (1=transit, 2=RV, 3=other)
  48- 54 F7.2   au      semi-major axis of the binary (if orbit known) or projected separation between the 2 stars
  55- 61 F7.3   ---     eccentricicy of the binary's orbit (if orbit unknown then e=99.)
  62- 63 I2     ---     Number of detected planets orbiting the star
  64- 71 F8.4   au      semi-major axis of the outermost planet in the system
  72- 77 F6.3   ---     eccentricity of the outermost planet in the system
  78- 86 F9.5   Mjup    estimated mass of the outermost planet in the system
  87- 93 F7.2   au      critical distance to parent star for orbital stability (assuming coplanarity and using empirical formula of Holman&Wiegert(1999))
  94-101 F8.3   deg     inclination between binary and planetary orbital planes (if unknown then 999.)

Note 1: complete for all S-type planet-hosting binaries of separation <500au
Note 2: when only the radius of the planet is known, its mass is (very) roughly estimated with a crude R_plan**3 scaling.
Note 3: for notes and references on individual systems, please go to exoplanet.eu/planets_binary_notes
--------------------------------------------------------------------------------
        HD93148 MASCARA-3 1.461 0.625   96.79 1 200.00 99.000 1  0.0690 0.085  5.18000  70.03 999.000
         WASP85         X 1.090 1.020  128.00 1 206.00 99.000 1  0.0390 0.000  1.26500  57.74 999.000
        WASP122    KELT24 1.239 0.230  250.10 1 209.30 99.000 1  0.0310 0.000  1.40100  84.66 999.000
       HD202772         X 1.720 1.125  162.20 1 211.00 99.000 1  0.0520 0.038  1.01700  66.20 999.000
       HD102365         X 0.850 0.192    9.30 2 211.00 99.000 1  0.4600 0.340  0.05000  83.13 999.000
       HD89744C         X 1.558 0.080   38.64 2 219.00 99.000 1  0.9170 0.677  8.35000  97.55 999.000
        HD19994     94Cet 1.340 0.721   22.53 2 220.00  0.260 1  1.4200 0.300  1.68000  49.67 999.000
       HD140901         X 0.990 0.110   15.18 2 220.39 99.000 2  7.4210 0.607  6.28000  93.89 999.000
        HAT-P-8         X 1.280 0.150  230.00 1 221.00 99.000 1  0.0490 0.000  1.34000  93.73 999.000
         TauBoo  HD120136 1.300 0.470   15.60 2 221.00  0.870 1  0.0460 0.023  5.95000   5.14   0.000
       HD238090     GJ458 0.578 0.230   14.24 2 224.00 99.000 1  0.0932 0.300  0.02200  79.71 999.000
       HD189733         X 0.800 0.200   19.74 1 226.00 99.000 1  0.0314 0.004  1.13800  87.69 999.000
      Kepler780   KOI1150 0.910 0.670  567.70 1 227.10 99.000 1  0.0150 0.000  0.00200  68.78 999.000
         GJ667C HD156384C 0.330 1.270    6.84 2 230.00 99.000 6  0.5500 0.080  0.01400  37.35 999.000
         TrES-2   Kepler1 0.980 0.509  213.00 1 232.00 99.000 1  0.0355 0.000  1.25300  77.51 999.000
     Kepler1418   KOI3049 0.770 0.385  499.00 1 234.50 99.000 1  0.1350 0.000  0.01000  79.10 999.000
       HD185269         X 1.280 0.312   52.03 2 235.00 99.000 1  0.0770 0.300  0.94000  91.54 999.000
         WASP14         X 1.320 0.250  162.80 1 236.00 99.000 1  0.0360 0.087  7.34000  95.22 999.000
        HD16141         X 1.010 0.367   37.82 2 236.40 99.000 1  0.3500 0.280  0.21500  85.75 999.000
       HD212301         X 1.250 0.330   54.70 2 238.00 99.000 1  0.0360 0.000  0.45000  91.54 999.000
        HD27442    epsRet 1.200 0.750   18.10 2 240.00 99.000 1  1.1600 0.058  1.35000  76.28 999.000
        HD28254         X 1.060 0.480   56.20 2 240.00 99.000 1  2.1500 0.810  1.16000  82.93 999.000
         HATS74    TOI737 0.601 0.228  286.60 1 240.60 99.000 1  0.0238 0.044  1.46000  86.49 999.000
       HD142245         X 1.690 0.620   97.50 2 244.00 99.000 1  2.7700 0.320  1.90000  88.33 999.000
          HIP65    TOI129 0.781 0.300   61.89 1 245.00 99.000 1  0.0178 0.000  3.21000  87.84 999.000
      Kepler410  HD175289 1.210 0.793  147.00 1 245.00 99.000 1  0.1200 0.170  0.10000  76.82 999.000
     Kepler1988   KOI3214 1.500 1.020  513.00 1 246.20 99.000 1  0.1142 0.000  0.02000  76.37 999.000
